?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_00005748>	"dry soil"	"Soil which has little to no water content and in which minerals and other soluble chemical entities have either bonded or become adsorbed to sold particles due to insufficient water availability."
<http://purl.obolibrary.org/obo/ENVO_00000278>	"dry stream"	"A stream channel through which no water flows and which has dried, containing no appreciable accumulations of water."
<http://purl.obolibrary.org/obo/ENVO_0010162>	"dry stream valley"	"A dry valley which was formed as a result of erosion due to stream formation and flow."
<http://purl.obolibrary.org/obo/ENVO_00000128>	"dry valley"	"A valley which no longer has water flowing or accumulating over its surface."
<http://purl.obolibrary.org/obo/ENVO_01000374>	"dry woodland"	"A dry woodland is a woodland which occurs in areas of rain shadow in a tropical marine climate,  receives very little rainfall,  typically has rapidly draining soils and trees which have adaptations to dry climates such as thick bark, small leaves, and the disposition to shed their leaves."
<http://purl.obolibrary.org/obo/ENVO_00000170>	"dune"	"A hill of sand built by eolian processes."
<http://purl.obolibrary.org/obo/ENVO_00000308>	"dune slack"	"A valley or trough between two dunes."
<http://purl.obolibrary.org/obo/ENVO_00002260>	"dune soil"	"Soil which is part of some dune."
<http://purl.obolibrary.org/obo/ENVO_01000492>	"dung building floor"	"A dung building floor is a building floor which is composed primarily of dried animal feces."
<http://purl.obolibrary.org/obo/ENVO_00002238>	"durisol"	"Durisols are associated mainly with old surfaces in arid and semi-arid environments and accommodate very shallow to moderately deep, moderately well- to well-drained soils that contain cemented secondary silica (SiO2) within 100 cm of the soil surface."
<http://purl.obolibrary.org/obo/ENVO_03600031>	"earth-filled dam"	"An embankment dam which is primarily composed of compacted earth."
<http://purl.obolibrary.org/obo/ENVO_01000104>	"eastern boundary current"	"A cold water, broad marine surface current flowing from high latitudes to the equator at speeds between 3 and 7 kilometers per day."
<http://purl.obolibrary.org/obo/ENVO_01000825>	"eaves"	"A part of a building roof which overhangs the face of a wall and, normally, projects beyond the side of a building."
<http://purl.obolibrary.org/obo/ENVO_01000276>	"ecoregion"	"A large unit of land or water containing a geographically distinct assemblage of species, natural communities, and environmental conditions."
<http://purl.obolibrary.org/obo/ENVO_01000280>	"ecozone"	"Ecozones delineate large areas of a planetary surface within which organisms have been evolving in relative isolation over long periods of time, separated from one another by geographic features, such as oceans, broad deserts, or high mountain ranges, that constitute barriers to migration."
<http://purl.obolibrary.org/obo/ENVO_03501129>	"educational facility"	"A human construction in which people are educated."
<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevated landform"	"A landform elevated above the surrounding area."
<http://purl.obolibrary.org/obo/ENVO_03600032>	"embankment dam"	"A dam which is created by the placement and compaction of a complex semi-plastic mound of various compositions of soil, sand, clay, or rock."
<http://purl.obolibrary.org/obo/ENVO_03501144>	"emergency unit facility"	"A hospital unit facility which is used to provide emergency medicine services."
<http://purl.obolibrary.org/obo/ENVO_03501145>	"emergency unit room"	"A room in which emergency medical care is provided."
<http://purl.obolibrary.org/obo/ENVO_00000551>	"endorheic basin"	"A drainage basin from which there is no outflow of water, either on the surface as rivers, or underground by flow or diffusion through rock or permeable material."
<http://purl.obolibrary.org/obo/ENVO_00000197>	"endorheic lake"	"A lake from which there is no outflow of water, either on the surface as rivers, or underground by flow or diffusion through rock or permeable material."
